level,time_ms,threads,ucb_const,rollout_mode,win,num_steps
9,150,4,0.1,0,False,18
9,150,4,0.1,1,False,31
9,150,4,0.1,2,False,17
9,150,4,0.2,0,True,31
9,150,4,0.2,1,False,23
9,150,4,0.2,2,True,26
9,150,4,0.5,0,False,16
9,150,4,0.5,1,False,21
9,150,4,0.5,2,True,33
9,150,4,1.0,0,False,20
9,150,4,1.0,1,False,10
9,150,4,1.0,2,False,33
9,150,4,1.4,0,False,20
9,150,4,1.4,1,False,18
9,150,4,1.4,2,False,13
9,150,4,2.0,0,True,31
9,150,4,2.0,1,False,25
9,150,4,2.0,2,False,14
9,150,4,3.0,0,False,14
9,150,4,3.0,1,False,15
9,150,4,3.0,2,False,20
9,150,4,4.0,0,False,16
9,150,4,4.0,1,False,29
9,150,4,4.0,2,False,33
9,150,4,5.0,0,True,38
9,150,4,5.0,1,False,14
9,150,4,5.0,2,False,19
9,150,4,10,0,False,21
9,150,4,10,1,False,9
9,150,4,10,2,True,27
9,150,4,30,0,False,9
9,150,4,30,1,False,8
9,150,4,30,2,False,18
9,150,4,100,0,False,25
9,150,4,100,1,False,25
9,150,4,100,2,False,16
9,200,4,0.1,0,False,8
9,200,4,0.1,1,True,30
9,200,4,0.1,2,False,29
9,200,4,0.2,0,False,10
9,200,4,0.2,1,False,11
9,200,4,0.2,2,False,24
9,200,4,0.5,0,False,39
9,200,4,0.5,1,False,23
9,200,4,0.5,2,True,37
9,200,4,1.0,0,False,23
9,200,4,1.0,1,False,28
9,200,4,1.0,2,False,26
9,200,4,1.4,0,True,30
9,200,4,1.4,1,False,24
9,200,4,1.4,2,False,19
9,200,4,2.0,0,False,10
9,200,4,2.0,1,False,20
9,200,4,2.0,2,False,14
9,200,4,3.0,0,False,26
9,200,4,3.0,1,False,17
9,200,4,3.0,2,True,30
9,200,4,4.0,0,False,11
9,200,4,4.0,1,False,23
9,200,4,4.0,2,False,25
9,200,4,5.0,0,False,23
9,200,4,5.0,1,True,52
9,200,4,5.0,2,False,20
9,200,4,10,0,False,30
9,200,4,10,1,True,35
9,200,4,10,2,False,16
9,200,4,30,0,False,19
9,200,4,30,1,True,34
9,200,4,30,2,False,31
9,200,4,100,0,False,17
9,200,4,100,1,False,15
9,200,4,100,2,False,18
9,250,4,0.1,0,False,29
9,250,4,0.1,1,False,33
9,250,4,0.1,2,False,31
9,250,4,0.2,0,False,22
9,250,4,0.2,1,False,32
9,250,4,0.2,2,False,34
9,250,4,0.5,0,False,13
9,250,4,0.5,1,True,43
9,250,4,0.5,2,True,40
9,250,4,1.0,0,True,33
9,250,4,1.0,1,False,33
9,250,4,1.0,2,False,22
9,250,4,1.4,0,False,14
9,250,4,1.4,1,True,35
9,250,4,1.4,2,False,18
9,250,4,2.0,0,False,11
9,250,4,2.0,1,False,27
9,250,4,2.0,2,False,28
9,250,4,3.0,0,False,8
9,250,4,3.0,1,True,37
9,250,4,3.0,2,False,21
9,250,4,4.0,0,False,6
9,250,4,4.0,1,False,24
9,250,4,4.0,2,False,13
9,250,4,5.0,0,True,30
9,250,4,5.0,1,False,18
9,250,4,5.0,2,False,25
9,250,4,10,0,False,31
9,250,4,10,1,True,34
9,250,4,10,2,True,28
9,250,4,30,0,False,21
9,250,4,30,1,False,15
9,250,4,30,2,False,31
9,250,4,100,0,False,27
9,250,4,100,1,False,23
9,250,4,100,2,False,30
9,300,4,0.1,0,False,31
9,300,4,0.1,1,True,34
9,300,4,0.1,2,True,31
9,300,4,0.2,0,False,22
9,300,4,0.2,1,False,29
9,300,4,0.2,2,False,17
9,300,4,0.5,0,False,15
9,300,4,0.5,1,True,44
9,300,4,0.5,2,True,23
9,300,4,1.0,0,False,30
9,300,4,1.0,1,False,14
9,300,4,1.0,2,True,41
9,300,4,1.4,0,False,27
9,300,4,1.4,1,False,17
